학생번호,성별,반,부모 학업 성취,석식 신청,선행학습경험,국어점수,영어점수,수학점수
94,남성,D,학사,O,있음,94,87,93
95,남성,B,석사 ,X,없음,81,73,72
96,여성,C,일반고등학교,O,있음,58,63,67
97,여성,E,전문학사 ,O,있음,95,100,100
98,남성,B,일반고등학교,X,없음,45,52,49
99,남성,A,학사,O,없음,63,50,49
100,남성,B,학사,O,없음,60,54,53
101,남성,B,전문학사 ,O,없음,62,56,55
102,남성,C,학사,X,있음,57,64,65
103,남성,C,학사,O,있음,78,80,81
104,남성,E,일반고등학교,O,없음,82,81,80
105,남성,D,일반고등학교,O,없음,69,70,70
106,여성,B,학사,O,없음,50,61,61
107,여성,D,학사,O,없음,73,80,84
108,남성,D,일반고등학교,O,없음,85,77,76
109,남성,A,학사,O,없음,58,40,46
110,남성,B,전문학사 ,O,없음,94,80,73
111,남성,C,학사,X,없음,32,36,36
112,여성,C,학사,O,있음,81,89,87
113,여성,D,특수목적고등학교,O,없음,44,55,50
114,여성,C,석사 ,O,없음,66,85,74
115,남성,A,학사,X,없음,46,37,36
116,남성,D,일반고등학교,O,없음,80,79,77
117,남성,B,전문학사 ,O,있음,79,81,79
118,여성,E,학사,X,없음,51,63,65
119,남성,C,전문학사 ,O,있음,61,59,57
120,남성,B,학사,X,없음,61,72,60
121,여성,D,특수목적고등학교,O,있음,78,92,89
122,여성,C,일반고등학교,O,있음,57,73,73
123,여성,D,학사,O,있음,81,90,92
124,여성,C,학사,O,있음,54,56,65
125,여성,C,특수목적고등학교,O,있음,44,46,48
126,여성,D,전문학사 ,O,없음,74,78,86
127,남성,C,석사 ,O,없음,65,57,61
128,남성,D,전문학사 ,O,없음,79,73,66
129,남성,C,특수목적고등학교,O,없음,47,54,47
130,남성,E,학사,O,있음,100,84,87
131,여성,D,전문학사 ,X,있음,87,97,100
132,여성,E,전문학사 ,X,있음,80,78,85
133,남성,C,일반고등학교,O,있음,68,72,66
134,남성,B,학사,O,없음,66,64,58
135,남성,D,전문학사 ,O,없음,63,56,57
136,남성,E,학사,O,없음,58,57,57
137,남성,C,특수목적고등학교,X,없음,75,80,71
138,남성,A,학사,O,있음,75,83,78
139,여성,B,전문학사 ,O,있음,49,67,69
140,남성,D,학사,X,없음,53,45,50
141,여성,C,특수목적고등학교,X,없음,62,74,66
142,남성,B,전문학사 ,X,없음,70,65,58
143,여성,D,학사,X,없음,67,79,85
144,여성,D,학사,O,없음,90,87,91
145,여성,B,전문학사 ,O,없음,58,65,63
146,남성,B,석사 ,O,있음,82,73,70
147,여성,B,일반고등학교,X,없음,52,58,58
148,여성,B,특수목적고등학교,O,있음,64,62,67
149,남성,E,학사,O,없음,61,56,47
150,여성,E,학사,O,있음,100,100,100
151,남성,A,전문학사 ,X,없음,48,46,46
152,여성,C,학사,O,있음,69,80,81
153,여성,C,일반고등학교,X,없음,56,69,61
154,여성,B,전문학사 ,O,없음,65,80,77
155,남성,D,학사,O,없음,70,68,75
156,여성,C,전문학사 ,X,없음,57,65,60
157,여성,C,학사,O,없음,46,47,50
158,남성,B,일반고등학교,X,없음,65,65,60
159,여성,E,전문학사 ,X,없음,93,88,88
160,여성,D,전문학사 ,X,없음,83,96,94
161,남성,E,특수목적고등학교,X,없음,85,80,81
162,여성,D,전문학사 ,O,있음,85,99,98
163,남성,D,전문학사 ,X,없음,66,64,66
164,여성,C,학사,O,없음,84,93,92
165,여성,B,특수목적고등학교,O,있음,71,76,76
166,남성,A,학사,O,있음,68,74,72
167,여성,D,학사,O,있음,73,89,94
168,남성,B,학사,O,없음,68,66,60
169,여성,B,특수목적고등학교,O,있음,59,66,70
170,여성,C,석사 ,O,없음,88,92,95
171,여성,A,일반고등학교,O,없음,82,87,85
172,여성,B,일반고등학교,O,없음,64,62,61
173,여성,D,학사,O,없음,73,73,78
174,여성,C,학사,X,있음,59,68,73
175,남성,A,특수목적고등학교,X,있음,71,66,64
176,남성,B,학사,O,있음,88,77,75
177,여성,D,학사,X,없음,47,56,60
178,여성,C,학사,O,없음,55,56,56
179,남성,B,특수목적고등학교,X,없음,56,53,51
180,여성,D,학사,X,있음,82,92,94
181,남성,D,일반고등학교,O,있음,90,87,86
182,여성,D,특수목적고등학교,O,없음,51,62,64
183,여성,C,학사,O,없음,48,52,49
184,여성,E,학사,O,없음,86,95,89
185,여성,C,전문학사 ,O,없음,71,83,76
186,여성,C,전문학사 ,O,있음,78,88,90
187,여성,C,석사 ,O,없음,94,100,99
188,남성,B,일반고등학교,O,없음,77,78,68
189,남성,E,특수목적고등학교,X,없음,65,63,61
190,남성,D,일반고등학교,O,없음,73,65,64
191,남성,B,특수목적고등학교,X,있음,52,63,53
192,남성,B,특수목적고등학교,O,있음,58,57,53
193,여성,B,특수목적고등학교,O,없음,33,51,51
194,남성,E,특수목적고등학교,X,없음,68,62,61
195,여성,C,전문학사 ,O,있음,80,91,89
196,여성,C,학사,O,없음,64,64,66
197,여성,D,특수목적고등학교,X,없음,39,49,48
198,남성,D,학사,O,없음,50,46,48
199,남성,A,석사 ,X,없음,53,57,51
200,여성,B,전문학사 ,O,있음,54,62,70
201,남성,D,일반고등학교,O,없음,79,68,70
202,여성,D,전문학사 ,O,있음,50,63,65
203,남성,E,전문학사 ,O,없음,54,54,47
204,남성,C,학사,O,없음,77,64,70
205,여성,B,특수목적고등학교,O,있음,52,67,70
206,여성,D,전문학사 ,X,없음,66,83,82
207,남성,B,특수목적고등학교,O,있음,78,74,75
208,여성,A,석사 ,O,있음,74,78,84
209,남성,C,학사,O,없음,86,78,81
210,여성,A,학사,O,없음,77,86,84
211,여성,B,전문학사 ,O,없음,64,62,66
212,여성,D,일반고등학교,X,있음,61,69,68
213,남성,D,전문학사 ,O,없음,97,88,85
214,남성,C,학사,O,있음,66,75,70
215,남성,C,특수목적고등학교,O,없음,62,66,64
216,여성,B,학사,X,없음,55,57,60
217,여성,B,전문학사 ,O,없음,53,72,66
218,여성,D,학사,X,없음,71,81,77
219,남성,B,일반고등학교,X,있음,66,59,68
220,남성,C,전문학사 ,O,없음,68,61,62
221,남성,D,학사,O,없음,89,90,83
222,여성,B,특수목적고등학교,O,없음,43,48,44
223,여성,D,석사 ,O,없음,79,77,83
224,남성,D,학사,O,없음,99,94,97
225,남성,D,특수목적고등학교,O,없음,82,69,72
226,남성,D,학사,X,있음,35,36,39
227,여성,D,학사,X,없음,61,71,73
228,여성,D,일반고등학교,O,없음,76,80,81
229,남성,C,전문학사 ,X,있음,94,83,82
230,여성,C,일반고등학교,O,없음,75,90,78
231,남성,B,학사,O,없음,81,75,70
232,남성,C,학사,X,없음,35,44,33
233,남성,C,학사,O,없음,76,74,72
234,여성,B,학사,O,없음,58,79,82
235,남성,C,전문학사 ,O,있음,100,91,90
236,여성,C,학사,O,없음,53,68,64
237,여성,D,일반고등학교,O,없음,82,95,96
238,남성,B,전문학사 ,O,없음,76,62,64
239,여성,D,학사,O,없음,72,84,82
240,남성,D,특수목적고등학교,O,없음,66,64,58
241,남성,C,학사,O,없음,63,65,63
242,남성,B,특수목적고등학교,O,없음,36,34,28
243,남성,C,일반고등학교,X,있음,68,74,71
244,여성,C,특수목적고등학교,X,있음,40,52,42
245,남성,D,특수목적고등학교,O,없음,68,71,61
246,여성,A,일반고등학교,O,없음,40,58,54
247,남성,D,학사,O,있음,82,83,85
248,남성,E,일반고등학교,O,없음,87,84,80
249,여성,C,일반고등학교,O,없음,62,65,64
250,남성,B,학사,X,있음,76,80,78
251,여성,A,일반고등학교,O,없음,63,69,60
252,남성,D,학사,X,있음,58,60,59
253,남성,D,학사,O,있음,61,63,65
254,남성,C,학사,O,없음,78,69,71
255,여성,C,학사,X,있음,78,90,81
256,남성,C,학사,O,없음,56,54,43
257,남성,D,일반고등학교,O,없음,96,83,82
258,남성,C,일반고등학교,O,없음,48,43,40
259,남성,C,학사,O,있음,70,76,72
260,남성,D,학사,X,없음,43,68,58
261,여성,E,일반고등학교,X,없음,45,46,49
262,여성,C,학사,O,없음,58,68,62
263,여성,A,일반고등학교,O,있음,70,73,80
264,여성,E,일반고등학교,O,없음,60,61,58
265,남성,C,일반고등학교,X,없음,52,53,47
266,남성,C,학사,X,없음,61,62,54
267,여성,D,일반고등학교,O,없음,55,70,61
268,남성,B,일반고등학교,O,있음,80,80,79
269,남성,D,학사,X,없음,63,60,54
270,여성,B,석사 ,O,없음,79,79,87
271,남성,A,학사,O,없음,74,78,72
272,여성,B,학사,X,있음,46,58,64
273,여성,B,일반고등학교,O,있음,72,88,92
274,여성,E,일반고등학교,X,없음,58,64,64
275,여성,E,석사 ,O,없음,47,50,47
276,여성,D,학사,O,있음,68,78,84
277,남성,D,학사,X,있음,68,71,67
278,여성,D,일반고등학교,O,없음,65,75,68
279,여성,B,학사,O,없음,50,54,51
280,여성,B,일반고등학교,X,있음,48,71,68
281,여성,B,학사,O,없음,58,60,64
282,남성,B,석사 ,O,없음,77,76,73
283,여성,D,일반고등학교,O,없음,59,78,75
284,여성,C,학사,X,없음,57,75,70
285,여성,C,일반고등학교,O,없음,76,82,74
286,남성,D,일반고등학교,O,없음,65,63,64
287,여성,B,석사 ,O,있음,75,75,83
288,남성,D,석사 ,O,없음,70,66,65
289,남성,C,일반고등학교,O,있음,79,79,70
290,남성,E,학사,O,있음,100,100,100
291,여성,A,학사,O,있음,83,96,99
292,여성,C,학사,X,없음,70,84,78
293,남성,E,일반고등학교,O,있음,97,80,88
294,여성,E,일반고등학교,X,없음,33,32,35
295,남성,B,석사 ,X,없음,38,40,41
296,남성,C,학사,O,있음,46,51,47
297,여성,D,학사,X,없음,13,36,37
298,남성,A,석사 ,O,없음,85,83,78
299,여성,B,학사,O,없음,79,79,80
300,여성,B,일반고등학교,O,없음,76,81,79
301,여성,C,일반고등학교,X,있음,53,70,65
302,남성,A,일반고등학교,O,있음,68,70,63
303,남성,D,학사,X,있음,67,70,70
304,남성,E,학사,O,있음,100,84,88
305,남성,C,학사,X,없음,54,48,45
306,여성,E,석사 ,X,없음,72,73,70
307,여성,C,일반고등학교,X,없음,50,59,54
308,여성,B,일반고등학교,O,없음,52,55,57
309,남성,E,학사,X,있음,75,65,66
310,여성,C,학사,O,없음,51,64,63
311,남성,C,일반고등학교,O,없음,64,48,50
312,여성,A,학사,X,있음,65,76,72
313,남성,B,석사 ,O,없음,99,81,87
314,여성,B,학사,O,없음,60,62,58
315,여성,B,학사,O,없음,70,78,80
316,남성,A,학사,O,있음,77,76,77
317,남성,B,일반고등학교,X,없음,37,28,23
318,남성,E,학사,X,없음,73,73,61
319,여성,B,학사,X,있음,53,74,75
320,여성,B,학사,O,없음,67,58,62
321,여성,B,학사,X,없음,67,79,80
322,남성,B,일반고등학교,X,없음,51,57,50
323,남성,D,일반고등학교,O,있음,64,71,70
324,남성,E,학사,X,없음,55,42,43
325,남성,D,학사,X,있음,55,39,51
326,남성,E,학사,O,없음,86,77,78
327,여성,B,석사 ,O,없음,71,88,85
328,남성,C,일반고등학교,X,없음,71,63,64
329,여성,C,일반고등학교,X,없음,51,67,69
330,여성,E,학사,O,있음,75,76,85
331,남성,C,일반고등학교,X,없음,45,31,27
332,남성,B,일반고등학교,O,없음,59,54,48
333,여성,E,일반고등학교,X,없음,64,69,68
334,남성,A,학사,O,있음,78,69,73
335,남성,D,일반고등학교,X,없음,59,61,58
336,남성,E,학사,X,없음,80,70,71
337,남성,B,학사,O,있음,68,82,77
338,여성,B,학사,O,없음,77,81,79
339,남성,C,일반고등학교,O,없음,66,67,64
340,여성,B,학사,O,없음,83,78,79
341,여성,B,학사,O,없음,52,58,57
342,여성,C,학사,X,있음,53,73,74
343,남성,D,학사,O,없음,55,55,55
344,남성,C,학사,O,없음,65,63,61
345,여성,E,일반고등학교,O,없음,60,67,64
346,남성,E,일반고등학교,X,있음,64,62,59
347,남성,C,학사,O,없음,71,72,69
348,남성,C,학사,X,있음,61,71,65
349,남성,D,학사,O,없음,61,55,58
350,여성,C,석사 ,O,없음,65,74,79
351,여성,D,일반고등학교,O,있음,71,83,89
352,남성,E,학사,X,없음,48,49,44
353,남성,E,일반고등학교,X,있음,75,80,75
354,남성,D,학사,X,없음,54,66,65
355,여성,C,석사 ,O,없음,70,64,65
356,남성,D,일반고등학교,O,없음,91,77,72
357,여성,D,일반고등학교,O,있음,33,44,50
358,여성,B,일반고등학교,O,없음,45,50,41
359,남성,A,일반고등학교,X,없음,45,33,32
360,남성,D,학사,X,없음,62,61,57
361,남성,E,학사,X,있음,92,79,77
362,여성,D,학사,O,없음,74,75,79
363,여성,C,일반고등학교,O,있음,81,79,83
364,남성,C,학사,X,없음,76,71,66
365,여성,C,학사,O,있음,57,72,73
366,남성,A,학사,X,없음,63,61,55
367,여성,D,일반고등학교,O,있음,57,62,73
368,여성,B,학사,O,있음,46,65,64
369,남성,E,일반고등학교,X,있음,49,50,45
370,여성,D,일반고등학교,O,없음,54,60,65
371,남성,C,일반고등학교,O,있음,89,87,90
372,남성,D,학사,O,있음,77,70,78
373,여성,C,학사,O,없음,46,63,60
374,남성,B,학사,O,있음,66,59,70
375,여성,C,일반고등학교,O,없음,48,63,53
376,남성,D,학사,O,있음,83,76,81
377,남성,C,일반고등학교,O,있음,69,75,74
378,남성,E,학사,X,없음,73,52,54
379,여성,D,학사,O,없음,43,59,59
